person_id,car_id,budd_quote,hudd_quote,wool_quote,real_quote
28,1,1118,1216,1267,1330
28,2,1741,1521,1884,1978
28,3,1582,2214,2583,2712
28,4,1668,1661,2012,2112
28,5,1059,1136,1646,1728
28,6,1360,1104,1285,1348
28,7,944,924,1005,1055
28,8,1132,1131,1127,1183
28,9,1040,931,1021,1072
28,10,1506,nan,2774,2911
29,1,1414,1625,1781,1887
29,2,2230,2039,2647,2806
29,3,1981,2986,3630,3848
29,4,2142,2226,2827,2996
29,5,1330,1514,2313,2452
29,6,1770,1473,1805,1913
29,7,1210,1223,1412,1496
29,8,1454,1510,1584,1679
29,9,1322,1233,1435,1521
29,10,1896,nan,3897,4131
30,1,1381,1413,1693,1794
30,2,2175,1748,2516,2668
30,3,1936,2540,3450,3658
30,4,2086,1899,2687,2849
30,5,1315,1318,2199,2331
30,6,1728,1307,1716,1819
30,7,1184,1096,1342,1423
30,8,1420,1330,1506,1596
30,9,1311,1102,1364,1446
30,10,1826,nan,3704,3927
31,1,1570,1976,2210,2325
31,2,2493,2476,3286,3456
31,3,2194,3635,4506,4739
31,4,2396,2700,3509,3691
31,5,1500,1838,2871,3020
31,6,1981,1799,2241,2357
31,7,1341,1491,1752,1843
31,8,1620,1842,1966,2068
31,9,1488,1503,1781,1873
31,10,2105,nan,4837,5088
32,1,1531,1688,2126,2236
32,2,2427,2084,3161,3325
32,3,2113,3034,4334,4559
32,4,2301,2260,3375,3550
32,5,1462,1572,2762,2905
32,6,1933,1573,2155,2267
32,7,1312,1315,1686,1773
32,8,1581,1596,1891,1989
32,9,1454,1322,1713,1802
32,10,2052,nan,4653,4894
33,1,1777,2314,2343,2482
33,2,2865,2865,3484,3690
33,3,2476,4192,4776,5059
33,4,2754,3107,3720,3940
33,5,1701,2151,3044,3224
33,6,2260,2158,2375,2516
33,7,1515,1797,1858,1968
33,8,1840,2190,2084,2208
33,9,1683,1805,1888,2000
33,10,2384,nan,5128,5432
34,1,1731,2073,2209,2340
34,2,2781,2525,3284,3479
34,3,2383,3668,4503,4771
34,4,2635,2723,3507,3715
34,5,1657,1928,2869,3040
34,6,2204,1982,2239,2372
34,7,1461,1664,1751,1855
34,8,1794,1993,1965,2082
34,9,1622,1667,1780,1885
34,10,2322,nan,4835,5122
35,1,2289,5215,2359,2482
35,2,3785,7313,3508,3690
35,3,3227,11252,4810,5059
35,4,3649,8296,3745,3940
35,5,2200,4832,3065,3224
35,6,3004,3849,2392,2516
35,7,1953,2932,1870,1968
35,8,2390,4294,2099,2208
35,9,2171,3057,1901,2000
35,10,3115,nan,5164,5432
36,1,2227,5171,2225,2340
36,2,3671,7281,3308,3479
36,3,3134,11219,4536,4771
36,4,3535,8272,3532,3715
36,5,2141,4791,2890,3040
36,6,2919,3777,2256,2372
36,7,1906,2866,1764,1855
36,8,2328,4233,1979,2082
36,9,2117,2993,1793,1885
36,10,3020,nan,4870,5122
37,1,1326,2521,2288,2426
37,2,2106,3413,3402,3606
37,3,nan,5175,4665,4945
37,4,nan,3840,3632,3851
37,5,1224,2344,2972,3151
37,6,1595,2044,2320,2459
37,7,1101,1621,1814,1923
37,8,1319,2187,2036,2158
37,9,1244,1665,1844,1954
37,10,nan,nan,nan,nan
38,1,1297,nan,2536,2687
38,2,2059,3700,3770,3995
38,3,nan,5610,5170,5478
38,4,nan,4159,4026,4266
38,5,1196,2544,3294,3491
38,6,1559,2224,2571,2724
38,7,1079,1764,2011,2130
38,8,1290,2378,2256,2390
38,9,1219,nan,2043,2165
38,10,nan,nan,nan,nan
39,1,1157,2227,2108,2235
39,2,1839,3009,3134,3323
39,3,nan,4555,4298,4556
39,4,nan,3385,3347,3548
39,5,1055,2073,2739,2903
39,6,1317,1818,2137,2266
39,7,909,1447,1671,1772
39,8,1108,1939,1875,1988
39,9,1053,1485,1699,1801
39,10,nan,nan,nan,nan
40,1,1133,2336,2346,2486
40,2,1799,nan,3488,3696
40,3,nan,4767,4783,5068
40,4,nan,3541,3724,3947
40,5,1032,2173,3048,3230
40,6,1289,1912,2378,2520
40,7,887,1523,1860,1971
40,8,1084,2038,2087,2212
40,9,1033,1562,1890,2003
40,10,nan,nan,nan,nan
41,1,1169,2063,1984,2103
41,2,1860,2784,2949,3127
41,3,nan,4209,4044,4287
41,4,1768,3132,3149,3339
41,5,1069,1921,2577,2732
41,6,1334,1686,2011,2132
41,7,921,1345,1573,1667
41,8,1121,nan,1765,1871
41,9,1063,nan,1598,1694
41,10,nan,nan,nan,nan
42,1,1144,2165,2159,2289
42,2,1820,2916,3211,3403
42,3,nan,4408,4402,4665
42,4,1750,3277,3428,3633
42,5,1045,2016,2805,2973
42,6,1305,1776,2189,2320
42,7,899,nan,1712,1814
42,8,1083,1891,1921,2036
42,9,1028,1453,1740,1844
42,10,nan,nan,nan,nan
43,1,1150,2011,1936,2035
43,2,1831,nan,2879,3026
43,3,nan,4101,3948,4149
43,4,1763,3052,3074,3231
43,5,1052,1873,2516,2644
43,6,1307,1643,1963,2063
43,7,899,1310,1535,1614
43,8,1100,1751,1723,1811
43,9,1043,1344,1560,1640
43,10,nan,nan,nan,nan
44,1,1126,2111,2075,2181
44,2,1790,2843,3085,3243
44,3,nan,4296,4230,4447
44,4,1723,nan,3294,3463
44,5,1028,1966,2695,2834
44,6,1278,1731,2103,2211
44,7,877,1382,1645,1729
44,8,1076,1843,1846,1940
44,9,1023,1417,1672,1757
44,10,nan,nan,nan,nan
45,1,1109,1876,1825,1918
45,2,1762,2533,2714,2852
45,3,nan,3826,3721,3911
45,4,1675,2850,2898,3045
45,5,1014,1748,2371,2492
45,6,1235,1529,1850,1945
45,7,856,1220,1447,1521
45,8,1043,1631,1624,1707
45,9,990,1252,1471,1546
45,10,nan,nan,nan,nan
46,1,1086,nan,1897,1994
46,2,1724,2634,2820,2964
46,3,nan,3977,3867,4065
46,4,1659,2961,3011,3165
46,5,991,1821,2464,2590
46,6,1224,1600,1923,2021
46,7,835,1278,1504,1581
46,8,1034,nan,1687,1774
46,9,983,1311,1528,1606
46,10,nan,nan,nan,nan
47,1,1072,1811,1754,1859
47,2,1724,2444,2608,2765
47,3,1642,3690,3575,3791
47,4,1660,2750,2784,2952
47,5,993,1688,2278,2416
47,6,1207,1478,1778,1885
47,7,835,1180,1390,1474
47,8,1034,1576,1560,1654
47,9,982,1211,1413,1498
47,10,1581,nan,3839,4070
48,1,1064,1890,1795,1903
48,2,1687,2547,2668,2829
48,3,1612,3845,3659,3879
48,4,1622,2864,2849,3020
48,5,968,1761,2332,2472
48,6,1196,1545,1819,1929
48,7,804,1234,1423,1508
48,8,1012,1647,1597,1693
48,9,nan,1266,1446,1533
48,10,nan,nan,3928,4164
49,1,nan,1764,nan,nan
49,2,nan,2379,nan,nan
49,3,nan,3589,3476,3653
49,4,nan,nan,2706,2844
49,5,962,1644,2215,2328
49,6,1185,1440,1728,1816
49,7,806,1151,1352,1420
49,8,1003,1535,1517,1594
49,9,949,1181,1374,1444
49,10,1535,nan,3731,3922
50,1,1033,1841,1736,1825
50,2,1637,2477,2582,2714
50,3,1565,3736,3540,nan
50,4,1574,2783,2757,2897
50,5,937,1716,2256,2371
50,6,1159,1509,1760,1850
50,7,787,1207,1377,1447
50,8,982,1607,1545,1624
50,9,927,1238,1399,1470
50,10,nan,nan,3801,3995
51,1,nan,1701,1635,1733
51,2,1645,2292,2431,2577
51,3,1570,3455,3333,3533
51,4,1583,2577,2595,2752
51,5,944,1587,2124,2252
51,6,1164,1391,1657,1757
51,7,790,1113,1296,1374
51,8,987,1482,1454,1542
51,9,931,1142,1317,1396
51,10,1510,nan,3578,3794
52,1,1018,1777,1659,1759
52,2,1610,2387,2467,2616
52,3,1541,3597,3383,3586
52,4,1569,2681,2634,2793
52,5,932,1656,2156,2285
52,6,nan,1460,1682,1783
52,7,nan,1169,1316,1395
52,8,978,1553,1476,1565
52,9,909,1199,1337,1417
52,10,1501,nan,3632,3850
53,1,1038,1655,1594,1675
53,2,1642,2227,2370,2490
53,3,1568,3356,3249,3415
53,4,1558,2505,2530,2659
53,5,940,nan,2071,2176
53,6,1161,1353,1616,1698
53,7,787,1084,1264,1328
53,8,985,1441,1418,1490
53,9,914,1111,1284,1350
53,10,1507,nan,3489,3666
54,1,1017,1729,1617,1700
54,2,1607,2322,2405,2528
54,3,1540,3496,3297,3466
54,4,1544,2607,2568,2699
54,5,915,1612,2101,2208
54,6,1136,1422,1640,1723
54,7,768,1140,1282,1348
54,8,960,1512,1439,1512
54,9,905,1168,1303,1370
54,10,1478,nan,3540,3721
55,1,1024,1608,1525,1617
55,2,1617,2164,2268,2405
55,3,1546,3259,3110,3297
55,4,1555,2433,2422,2568
55,5,924,1500,1982,2101
55,6,1145,1315,1546,1640
55,7,774,1054,1209,1282
55,8,969,1401,1357,1439
55,9,911,1081,1229,1303
55,10,1485,nan,3339,3540
56,1,1003,1682,1553,1647
56,2,1583,2257,2310,2449
56,3,1518,3397,3167,3357
56,4,1521,2534,2466,2614
56,5,887,1569,2018,2139
56,6,1120,1383,1575,1670
56,7,756,1110,1231,1306
56,8,944,nan,1382,1465
56,9,890,1137,1251,1327
56,10,1456,nan,3400,3605
57,1,988,1502,1493,1583
57,2,1558,2021,2220,2354
57,3,1493,3039,3044,3228
57,4,1500,2272,2370,2513
57,5,882,nan,1940,2057
57,6,1093,1228,1514,1605
57,7,734,986,1184,1255
57,8,920,1308,1328,1408
57,9,866,1011,1203,1276
57,10,1434,nan,3268,3465
58,1,964,1560,1529,1621
58,2,1525,2091,2273,2410
58,3,1467,3143,3117,3304
58,4,1446,2348,2427,2573
58,5,847,1455,1986,2106
58,6,1070,1283,1550,1643
58,7,717,1031,1212,1285
58,8,896,1363,1360,1442
58,9,846,1056,1232,1306
58,10,1407,nan,3346,3548
59,1,963,nan,1493,1568
59,2,1524,1939,2219,2332
59,3,1464,2915,3043,3198
59,4,1469,2180,2370,2490
59,5,857,1347,1939,2038
59,6,1059,1179,1513,1590
59,7,707,947,1183,1243
59,8,888,1255,1328,1395
59,9,837,971,1203,1264
59,10,1407,nan,3267,3433
60,1,939,1499,1531,1609
60,2,1472,2009,2276,2392
60,3,1438,3017,3121,3280
60,4,1437,2255,2431,2554
60,5,834,1399,1989,2090
60,6,1037,1233,1552,1631
60,7,690,nan,1214,1276
60,8,865,1310,1362,1431
60,9,818,1016,1233,1296
60,10,1362,nan,3351,3522
61,1,949,1412,1464,1553
61,2,1506,1898,2177,2309
61,3,1446,2852,2985,3166
61,4,1450,2134,2325,2465
61,5,845,1319,1902,2017
61,6,1047,1153,1484,1574
61,7,698,926,1161,1231
61,8,876,1229,1303,1381
61,9,826,nan,1180,1251
61,10,1390,nan,3205,3399
62,1,913,1439,1504,1595
62,2,1474,1928,2237,2372
62,3,1421,2894,3067,3252
62,4,1419,nan,2388,2533
62,5,823,1344,1954,2072
62,6,1025,nan,1525,1617
62,7,681,952,1193,1265
62,8,853,1257,1338,1419
62,9,796,976,1212,1285
62,10,1364,nan,3293,3492
63,1,937,1382,1462,1536
63,2,1487,1858,2174,2284
63,3,1410,2791,2981,3132
63,4,1432,2089,2321,2439
63,5,834,nan,1899,1996
63,6,1020,1128,1482,1557
63,7,689,906,1159,1218
63,8,852,1202,1301,1367
63,9,815,930,1178,1238
63,10,1354,nan,3200,3363
64,1,914,1409,1503,1580
64,2,1437,1888,2235,2349
64,3,1405,2832,3065,3221
64,4,1401,2119,2387,2508
64,5,812,1316,1953,2052
64,6,1013,1158,1524,1602
64,7,672,932,1192,1253
64,8,842,1231,1337,1405
64,9,796,955,1211,1273
64,10,1347,nan,3291,3458
65,1,911,nan,1432,1519
65,2,1470,1838,2130,2259
65,3,1413,2760,2920,3097
65,4,1415,2066,2274,2412
65,5,823,1278,1861,1973
65,6,1009,1115,1452,1540
65,7,680,896,1135,1204
65,8,852,1189,1274,1351
65,9,804,919,1154,1224
65,10,1338,nan,3135,3325
66,1,889,nan,1474,1563
66,2,1420,1847,2191,2324
66,3,1389,2769,3005,3186
66,4,1384,2073,2340,2481
66,5,801,1288,1915,2030
66,6,1002,nan,1494,1584
66,7,664,913,1168,1239
66,8,831,1204,1311,1390
66,9,786,936,1187,1259
66,10,1332,nan,3226,3421
67,1,923,1352,1429,1501
67,2,1447,1816,2125,2232
67,3,1409,2724,2913,3061
67,4,1393,2040,2269,2383
67,5,822,nan,1856,1950
67,6,1009,1104,1449,1522
67,7,680,888,1133,1190
67,8,852,1176,1271,1335
67,9,804,911,1151,1209
67,10,1334,nan,3128,3286
68,1,900,1364,1470,1545
68,2,1437,1825,2186,2296
68,3,1385,2734,2997,3149
68,4,1382,2047,2334,2452
68,5,801,1274,1910,2006
68,6,1002,1122,1490,1566
68,7,664,905,1165,1224
68,8,830,1192,1308,1374
68,9,785,927,1184,1244
68,10,1327,nan,3217,3381
69,1,916,1322,1394,1464
69,2,1456,1771,2073,2177
69,3,1397,2654,2842,2985
69,4,1402,1988,2213,2325
69,5,818,1235,1811,1902
69,6,1019,nan,1413,1485
69,7,677,871,1105,1161
69,8,848,1151,1240,1303
69,9,788,893,1123,1180
69,10,1340,nan,3051,3205
70,1,893,1319,1432,1504
70,2,1426,1760,2129,2236
70,3,1373,2633,2919,3066
70,4,1372,1973,2273,2388
70,5,796,1233,1860,1954
70,6,998,1088,1451,1525
70,7,661,879,1135,1192
70,8,826,1155,1274,1338
70,9,769,900,1153,1212
70,10,1315,nan,3134,3292
71,1,911,1307,1363,1446
71,2,1449,1749,2026,2149
71,3,1389,2618,2778,2947
71,4,1395,1962,2163,2295
71,5,814,1221,1770,1878
71,6,1015,1071,1381,1466
71,7,674,863,1080,1146
71,8,844,1139,1212,1286
71,9,795,884,1098,1165
71,10,1332,nan,2983,3164
72,1,889,1303,1397,1482
72,2,1419,1737,2078,2204
72,3,1365,2597,2849,3022
72,4,1346,nan,2219,2353
72,5,793,1218,1815,1926
72,6,980,1077,1417,1503
72,7,658,871,1108,1175
72,8,822,1142,1243,1319
72,9,776,892,1126,1194
72,10,1307,nan,3059,3244
73,1,905,1291,1358,1427
73,2,1440,1726,2020,2121
73,3,1380,2583,2770,2909
73,4,1367,1936,2157,2265
73,5,809,nan,1765,1853
73,6,1010,1060,1377,1446
73,7,670,855,1077,1131
73,8,839,1127,1208,1269
73,9,790,876,1094,1149
73,10,1323,nan,2973,3123
74,1,883,1288,1390,1460
74,2,1410,1714,2066,2170
74,3,1356,2561,2833,2976
74,4,1356,1919,2206,2317
74,5,788,nan,1805,1896
74,6,989,1067,1409,1480
74,7,655,864,1102,1157
74,8,818,nan,1236,1299
74,9,772,883,1120,1176
74,10,1280,nan,3042,3195
75,1,898,1276,1327,1408
75,2,1429,1704,1973,2093
75,3,1369,2547,2705,2870
75,4,1357,1909,2107,2235
75,5,803,1193,1724,1829
75,6,1004,1049,1345,1427
75,7,666,848,1052,1116
75,8,833,1115,1180,1252
75,9,785,868,1069,1134
75,10,1312,nan,2905,3082
76,1,876,nan,1354,1437
76,2,1400,nan,2013,2136
76,3,1345,2496,2761,2929
76,4,1346,1872,2150,2281
76,5,782,1177,1759,1866
76,6,970,nan,1373,1456
76,7,650,847,1074,1139
76,8,812,1106,1205,1278
76,9,766,866,1091,1157
76,10,nan,nan,nan,nan
77,1,890,1261,1329,1396
77,2,1418,1681,1977,2076
77,3,1358,2511,2710,2846
77,4,1346,1883,2111,2216
77,5,797,1179,1727,1814
77,6,998,1038,1348,1415
77,7,652,840,1054,1107
77,8,827,1102,1183,1242
77,9,778,859,1071,1125
77,10,1301,nan,2910,3056
78,1,868,1244,1352,1420
78,2,1389,nan,2010,2111
78,3,1334,2460,2756,2895
78,4,1335,1845,2146,2254
78,5,776,nan,1756,1844
78,6,975,1034,1370,1439
78,7,637,839,1072,1126
78,8,806,1094,1203,1263
78,9,760,858,1089,1144
78,10,1277,nan,2959,3108
79,1,881,1257,1298,1378
79,2,1405,1673,1930,2048
79,3,1345,2498,2647,2809
79,4,1333,1873,2061,2187
79,5,789,1175,1687,1790
79,6,990,1037,1316,1397
79,7,655,839,1029,1092
79,8,819,1100,1155,1226
79,9,771,858,1046,1110
79,10,1288,nan,2842,3015
80,1,859,1239,1315,1396
80,2,1376,1641,1956,2075
80,3,1322,2446,2682,2846
80,4,1322,1835,2088,2216
80,5,758,1159,1709,1813
80,6,966,1033,1334,1415
80,7,640,839,1043,1107
80,8,798,1091,1170,1242
80,9,753,857,1060,1124
80,10,1247,nan,2879,3055
81,1,871,1242,1295,1360
81,2,1391,1651,1925,2021
81,3,1332,2462,2640,2772
81,4,1338,1847,2056,2158
81,5,770,1161,1682,1766
81,6,967,1026,1313,1378
81,7,649,832,1026,1078
81,8,811,1088,1152,1209
81,9,763,850,1043,1095
81,10,1275,nan,2834,2976
82,1,850,1224,1306,1372
82,2,1362,1619,1942,2039
82,3,1308,2409,2663,2796
82,4,1309,1808,2074,2178
82,5,761,1145,1697,1782
82,6,956,1022,1324,1390
82,7,634,832,1036,1087
82,8,790,1079,1162,1220
82,9,745,849,1052,1105
82,10,1251,nan,2859,3002
83,1,838,1211,1262,1325
83,2,1360,1605,1876,1970
83,3,1302,2391,2573,2701
83,4,1307,1794,2004,2103
83,5,762,1133,1639,1721
83,6,945,nan,1279,1343
83,7,635,817,1000,1050
83,8,792,1064,1123,1179
83,9,745,834,1017,1067
83,10,1245,nan,2762,2900
84,1,829,1180,1261,1324
84,2,1332,1555,1875,1968
84,3,1280,2309,2570,2699
84,4,1279,1734,2002,2101
84,5,743,1104,1638,1720
84,6,934,990,1278,1342
84,7,620,808,1000,1049
84,8,772,nan,1122,1178
84,9,728,824,1016,1066
84,10,1205,nan,2760,2897
85,1,827,1196,1239,1315
85,2,1343,1583,1842,1955
85,3,1286,2356,2526,2681
85,4,1291,1768,1967,2088
85,5,752,1119,1610,1708
85,6,945,nan,1256,1333
85,7,627,810,982,1043
85,8,781,1052,1102,1170
85,9,735,826,998,1059
85,10,1229,nan,2712,2878
86,1,818,1165,1231,1307
86,2,1316,1532,1830,1943
86,3,1264,2274,2510,2664
86,4,1263,1708,1954,2074
86,5,733,1090,1599,1697
86,6,922,980,1248,1325
86,7,612,801,976,1036
86,8,762,1032,1095,1162
86,9,718,816,992,1053
86,10,1206,nan,2694,2860
87,1,826,1192,1238,1300
87,2,1326,nan,1841,1932
87,3,1252,nan,2524,2649
87,4,1274,1757,1965,2063
87,5,742,1114,1608,1688
87,6,919,993,1255,1317
87,7,618,809,981,1030
87,8,770,1050,1101,1156
87,9,725,825,997,1047
87,10,1212,nan,2710,2844
88,1,806,1160,1223,1284
88,2,1299,1523,1818,1909
88,3,1248,2259,2493,2617
88,4,1247,1697,1942,2038
88,5,723,1085,1589,1668
88,6,908,978,1240,1301
88,7,604,800,970,1018
88,8,751,nan,1088,1142
88,9,699,815,985,1034
88,10,1190,nan,2677,2810
89,1,813,1177,1210,1285
89,2,1307,1552,1800,1910
89,3,1252,2306,2468,2620
89,4,1256,1731,1922,2040
89,5,730,1101,1572,1669
89,6,917,983,1227,1303
89,7,610,802,960,1019
89,8,759,1038,1077,1143
89,9,714,817,975,1035
89,10,1195,nan,2649,2812
90,1,793,1145,1188,1262
90,2,1264,1501,1767,1876
90,3,1231,2223,2423,2572
90,4,1229,1671,1886,2003
90,5,712,1071,1544,1639
90,6,895,968,1205,1279
90,7,595,nan,942,1000
90,8,740,1017,1057,1122
